timestamp_hour,site_id,arrivals_per_hour,average_service_time_minutes,average_waiting_time_minutes,average_queue_length,maximum_queue_length,charger_utilization,active_charging_sessions,completed_sessions
2018-09-09 16:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 17:00:00,Caltech,5,142.35,0.0,0.0,0,0.3428,10.28,3
2018-09-09 17:00:00,JPL,1,137.67,0.0,0.0,0,0.0188,0.6,0
2018-09-09 18:00:00,Caltech,2,159.38,0.0,0.0,0,0.3924,11.77,5
2018-09-09 18:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-09 19:00:00,Caltech,4,129.56,0.0,0.0,0,0.3631,10.89,2
2018-09-09 19:00:00,JPL,0,,,0.0,0,0.0216,0.69,1
2018-09-09 20:00:00,Caltech,4,109.12,0.0,0.0,0,0.4015,12.04,3
2018-09-09 20:00:00,JPL,1,158.8,0.0,0.0,0,0.0027,0.09,0
2018-09-09 21:00:00,Caltech,4,187.4,0.0,0.0,0,0.4017,12.05,5
2018-09-09 21:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-09 22:00:00,Caltech,3,130.79,0.0,0.0,0,0.3598,10.79,5
2018-09-09 22:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-09 23:00:00,Caltech,4,122.2,0.0,0.0,0,0.349,10.47,6
2018-09-09 23:00:00,JPL,0,,,0.0,0,0.0175,0.56,1
2018-09-10 00:00:00,Caltech,2,184.32,0.0,0.0,0,0.2932,8.8,1
2018-09-10 00:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 01:00:00,Caltech,1,168.35,0.0,0.0,0,0.2882,8.65,2
2018-09-10 01:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 02:00:00,Caltech,1,48.33,0.0,0.0,0,0.2627,7.88,2
2018-09-10 02:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 03:00:00,Caltech,3,304.92,0.0,0.0,0,0.2164,6.49,4
2018-09-10 03:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 04:00:00,Caltech,3,557.68,0.0,0.0,0,0.1672,5.02,2
2018-09-10 04:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 05:00:00,Caltech,1,293.07,0.0,0.0,0,0.2451,7.35,1
2018-09-10 05:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 06:00:00,Caltech,1,266.73,0.0,0.0,0,0.2068,6.2,1
2018-09-10 06:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 07:00:00,Caltech,1,14.25,0.0,0.0,0,0.2412,7.24,1
2018-09-10 07:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 08:00:00,Caltech,0,,,0.0,0,0.2333,7.0,0
2018-09-10 08:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 09:00:00,Caltech,0,,,0.0,0,0.2333,7.0,0
2018-09-10 09:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 10:00:00,Caltech,1,354.88,0.0,0.0,0,0.2336,7.01,1
2018-09-10 10:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-10 11:00:00,Caltech,1,501.58,0.0,0.0,0,0.2203,6.61,1
2018-09-10 11:00:00,JPL,1,34.93,0.0,0.0,0,0.0182,0.58,1
2018-09-10 12:00:00,Caltech,1,36.77,0.0,0.0,0,0.2421,7.26,1
2018-09-10 12:00:00,JPL,2,519.55,0.0,0.0,0,0.0052,0.17,0
2018-09-10 13:00:00,Caltech,5,272.88,0.0,0.0,0,0.2251,6.75,2
2018-09-10 13:00:00,JPL,9,499.11,0.0,0.0,0,0.2183,6.99,0
2018-09-10 14:00:00,Caltech,6,355.79,0.0,0.0,0,0.36,10.8,5
2018-09-10 14:00:00,JPL,14,503.65,0.0,0.0,0,0.5754,18.41,0
2018-09-10 15:00:00,Caltech,24,407.91,8.07,0.32,3,0.7412,22.24,2
2018-09-10 15:00:00,JPL,11,469.45,65.08,1.8,4,0.9458,30.26,0
2018-09-10 16:00:00,Caltech,9,408.09,180.91,8.57,11,1.0,30.0,1
2018-09-10 16:00:00,JPL,1,550.98,189.1,3.93,4,1.0,32.0,1
2018-09-10 17:00:00,Caltech,7,316.2,242.99,13.92,16,1.0,30.0,2
2018-09-10 17:00:00,JPL,0,,,4.0,4,1.0,32.0,0
2018-09-10 18:00:00,Caltech,1,1193.87,299.48,15.8,17,1.0,30.0,2
2018-09-10 18:00:00,JPL,0,,,3.7,4,1.0,32.0,1
2018-09-10 19:00:00,Caltech,7,292.73,271.92,16.01,19,1.0,30.0,6
2018-09-10 19:00:00,JPL,2,247.91,98.43,3.09,4,1.0,32.0,2
2018-09-10 20:00:00,Caltech,4,253.77,227.78,15.14,16,1.0,30.0,4
2018-09-10 20:00:00,JPL,1,322.95,17.32,2.09,3,1.0,32.0,2
2018-09-10 21:00:00,Caltech,4,286.32,200.88,17.24,19,1.0,30.0,2
2018-09-10 21:00:00,JPL,4,273.37,4.69,0.34,2,0.997,31.9,7
2018-09-10 22:00:00,Caltech,2,100.14,180.17,18.4,19,1.0,30.0,1
2018-09-10 22:00:00,JPL,3,133.57,0.0,0.0,0,0.991,31.71,3
2018-09-10 23:00:00,Caltech,2,66.67,128.45,16.66,19,1.0,30.0,6
2018-09-10 23:00:00,JPL,2,44.62,0.0,0.0,0,0.8536,27.31,9
2018-09-11 00:00:00,Caltech,4,126.36,110.59,10.52,15,1.0,30.0,10
2018-09-11 00:00:00,JPL,1,60.43,0.0,0.0,0,0.5252,16.81,14
2018-09-11 01:00:00,Caltech,5,94.17,78.53,8.51,10,1.0,30.0,5
2018-09-11 01:00:00,JPL,0,,,0.0,0,0.2411,7.71,6
2018-09-11 02:00:00,Caltech,3,104.94,51.82,8.01,10,1.0,30.0,6
2018-09-11 02:00:00,JPL,0,,,0.0,0,0.1378,4.41,1
2018-09-11 03:00:00,Caltech,1,79.0,0.0,1.7,6,0.9866,29.6,9
2018-09-11 03:00:00,JPL,0,,,0.0,0,0.125,4.0,0
2018-09-11 04:00:00,Caltech,3,73.62,0.0,0.0,0,0.7975,23.93,10
2018-09-11 04:00:00,JPL,0,,,0.0,0,0.1208,3.87,1
