timestamp_hour,site_id,arrivals_per_hour,average_service_time_minutes,average_waiting_time_minutes,average_queue_length,maximum_queue_length,charger_utilization,active_charging_sessions,completed_sessions
2018-09-07 18:00:00,Caltech,1,233.02,118098.62,3520.17,3521,1.0,10.0,2
2018-09-07 18:00:00,JPL,2,191.88,449.43,17.01,18,1.0,15.0,1
2018-09-07 19:00:00,Caltech,6,243.76,118228.09,3520.51,3524,1.0,10.0,2
2018-09-07 19:00:00,JPL,1,284.38,457.87,17.49,18,1.0,15.0,1
2018-09-07 20:00:00,Caltech,3,199.2,118270.94,3524.9,3526,1.0,10.0,1
2018-09-07 20:00:00,JPL,3,146.78,452.83,19.25,20,1.0,15.0,1
2018-09-07 21:00:00,Caltech,1,190.22,118275.78,3525.64,3527,1.0,10.0,3
2018-09-07 21:00:00,JPL,3,153.14,459.18,19.72,21,1.0,15.0,3
2018-09-07 22:00:00,Caltech,3,157.41,118270.77,3523.29,3525,1.0,10.0,2
2018-09-07 22:00:00,JPL,2,112.78,463.18,18.44,20,1.0,15.0,5
2018-09-07 23:00:00,Caltech,5,278.29,118296.61,3527.74,3530,1.0,10.0,0
2018-09-07 23:00:00,JPL,0,,,15.81,17,1.0,15.0,3
2018-09-08 00:00:00,Caltech,6,581.19,118298.43,3532.19,3534,1.0,10.0,2
2018-09-08 00:00:00,JPL,1,52.22,390.17,13.32,14,1.0,15.0,3
2018-09-08 01:00:00,Caltech,6,93.4,118299.36,3535.71,3538,1.0,10.0,3
2018-09-08 01:00:00,JPL,0,,,12.0,12,1.0,15.0,0
2018-09-08 02:00:00,Caltech,7,182.92,118295.51,3538.74,3544,1.0,10.0,0
2018-09-08 02:00:00,JPL,0,,,10.53,12,1.0,15.0,2
2018-09-08 03:00:00,Caltech,2,1475.75,118304.1,3544.51,3545,1.0,10.0,1
2018-09-08 03:00:00,JPL,0,,,9.27,10,1.0,15.0,2
2018-09-08 04:00:00,Caltech,1,130.2,118271.92,3545.53,3546,1.0,10.0,0
